,baseMean,log2FoldChange,lfcSE,pvalue,padj
GLYMA_U027500,3.404784982,-0.00544835,0.221839744,0.926987267,NA
GLYMA_U027200,0.999087801,-0.002104179,0.22750432,0.95714866,NA
GLYMA_U026800,12.04733755,-0.133762399,0.242343426,0.220098455,0.579323682
GLYMA_U026700,1.320548413,0.008145127,0.226676437,0.829481929,NA
GLYMA_U026600,1.194728614,-0.036908916,0.233130964,0.228393257,NA
GLYMA_U025900,16.84818247,0.07929595,0.207589825,0.464352127,0.808324939
GLYMA_U025800,37.09564806,-0.110440414,0.178558023,0.364112413,0.735704436
GLYMA_U025700,3.652016733,0.083902927,0.240804644,0.227975333,NA
GLYMA_U025600,5.828492281,0.044864694,0.220722338,0.571653784,NA
GLYMA_U025000,2.075528874,0.020863129,0.226054786,0.681112126,NA
GLYMA_U024900,1.901685044,-0.014862794,0.226029088,0.758839874,NA
GLYMA_U024600,1.32094616,0.020632081,0.227398856,0.651632668,NA
GLYMA_U022200,1.114177456,-0.018466953,0.229854672,0.534465615,NA
GLYMA_U009100,0.425706202,-0.000937047,0.229985941,0.977646979,NA
GLYMA_U008900,1.818959333,0.034300775,0.228882469,0.489659606,NA
GLYMA_U008800,7.217963906,0.018057196,0.211873714,0.833505462,NA
GLYMA_U008400,7.218450307,0.093511467,0.234393833,0.298464654,NA
GLYMA_U008300,1.820091027,0.022949025,0.22713154,0.633168876,NA
GLYMA_U008200,5.232506865,-0.01963762,0.219053893,0.783179543,NA
GLYMA_U007700,4.326500998,0.087623389,0.240851495,0.236679847,NA
GLYMA_U007600,2.492207235,0.019194893,0.224155703,0.738221561,NA
GLYMA_U007200,126.1041206,-0.091720666,0.257936691,0.002051195,0.02120957
GLYMA_U007100,0.487491248,0.009278985,0.229837141,0.710917847,NA
GLYMA_U007000,4.217659492,0.10220646,0.249832573,0.169412204,NA
GLYMA_U006300,7.484428514,-0.106529622,0.240282026,0.248770827,NA
GLYMA_U006200,2.665904811,-0.017062865,0.224183137,0.760742879,NA
GLYMA_U005800,0.892203688,-0.012379445,0.231108392,0.316855058,NA
GLYMA_U005500,5.570171094,0.061982378,0.229218693,0.393989756,NA
GLYMA_U005400,0.744459263,0.010417032,0.228673145,0.744663069,NA
GLYMA_U005300,16.55717578,0.012555453,0.195092673,0.906051888,0.98333085
GLYMA_U005200,1.149830309,0.046096953,0.233671407,0.273428158,NA
GLYMA_U005100,1.489417997,-0.002604345,0.225935368,0.95257593,NA
GLYMA_U004300,3.833519844,-0.028457526,0.223084097,0.65835652,NA
GLYMA_U003500,0.918537813,-0.001969091,0.227641398,0.957993013,NA
GLYMA_U003400,4.430256752,-0.007435673,0.219095602,0.912018474,NA
GLYMA_U003100,1.420993646,-0.040904968,0.231368501,0.368776728,NA
GLYMA_U003000,2.07234966,0.034374025,0.228764581,0.488605938,NA
GLYMA_U001900,7.708881598,-0.030819699,0.214090961,0.715548502,NA
GLYMA_U001700,1.574173825,0.031986489,0.228660587,0.503131289,NA
GLYMA_U000900,2.051465483,0.060841957,0.238582506,0.163255197,NA
GLYMA_U000800,1.116184356,0.009080642,0.23088796,0.431753026,NA
GLYMA_U000500,1.406188781,-0.004482416,0.226698003,0.956822893,NA
GLYMA_U000400,1.568435714,0.03595842,0.230082331,0.432786922,NA
GLYMA_20G250200,3.565479622,0.039956511,0.225031114,0.545169544,NA
GLYMA_20G250100,0.566277845,0.008198708,0.230806872,0.583823994,NA
